seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_1,fomc,0.22,22,100,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.62,62,100,scores_seed_123.csv
123,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_123.csv
123,1,task_1,task_1,fomc,0.54,54,100,scores_seed_123.csv
123,1,task_1,task_2,scienceqa,0.66,66,100,scores_seed_123.csv
123,1,task_1,task_3,numgluecm,0.382716049382716,31,81,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.65,65,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.345679012345679,28,81,scores_seed_123.csv
123,3,task_3,task_1,fomc,0.26,26,100,scores_seed_123.csv
123,3,task_3,task_2,scienceqa,0.56,56,100,scores_seed_123.csv
123,3,task_3,task_3,numgluecm,0.1111111111111111,9,81,scores_seed_123.csv
33,0,base,task_1,fomc,0.22,22,100,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.62,62,100,scores_seed_33.csv
33,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_33.csv
33,1,task_1,task_1,fomc,0.56,56,100,scores_seed_33.csv
33,1,task_1,task_2,scienceqa,0.68,68,100,scores_seed_33.csv
33,1,task_1,task_3,numgluecm,0.345679012345679,28,81,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.37,37,100,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.73,73,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.3580246913580246,29,81,scores_seed_33.csv
33,3,task_3,task_1,fomc,0.24,24,100,scores_seed_33.csv
33,3,task_3,task_2,scienceqa,0.67,67,100,scores_seed_33.csv
33,3,task_3,task_3,numgluecm,0.1481481481481481,12,81,scores_seed_33.csv
42,0,base,task_1,fomc,0.22,22,100,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.62,62,100,scores_seed_42.csv
42,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_42.csv
42,1,task_1,task_1,fomc,0.54,54,100,scores_seed_42.csv
42,1,task_1,task_2,scienceqa,0.63,63,100,scores_seed_42.csv
42,1,task_1,task_3,numgluecm,0.3580246913580246,29,81,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.31,31,100,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.61,61,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.3209876543209876,26,81,scores_seed_42.csv
42,3,task_3,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,3,task_3,task_2,scienceqa,0.49,49,100,scores_seed_42.csv
42,3,task_3,task_3,numgluecm,0.1481481481481481,12,81,scores_seed_42.csv
