seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.52,52,100,scores_seed_123.csv
123,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_123.csv
123,1,task_1,task_1,fomc,0.55,55,100,scores_seed_123.csv
123,1,task_1,task_2,scienceqa,0.62,62,100,scores_seed_123.csv
123,1,task_1,task_3,numgluecm,0.3950617283950617,32,81,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.6,60,100,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.8,80,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.4691358024691358,38,81,scores_seed_123.csv
123,3,task_3,task_1,fomc,0.61,61,100,scores_seed_123.csv
123,3,task_3,task_2,scienceqa,0.81,81,100,scores_seed_123.csv
123,3,task_3,task_3,numgluecm,0.382716049382716,31,81,scores_seed_123.csv
33,0,base,task_1,fomc,0.25,25,100,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.52,52,100,scores_seed_33.csv
33,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_33.csv
33,1,task_1,task_1,fomc,0.45,45,100,scores_seed_33.csv
33,1,task_1,task_2,scienceqa,0.68,68,100,scores_seed_33.csv
33,1,task_1,task_3,numgluecm,0.3580246913580246,29,81,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.5,50,100,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.8,80,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.5185185185185185,42,81,scores_seed_33.csv
33,3,task_3,task_1,fomc,0.53,53,100,scores_seed_33.csv
33,3,task_3,task_2,scienceqa,0.82,82,100,scores_seed_33.csv
33,3,task_3,task_3,numgluecm,0.4320987654320987,35,81,scores_seed_33.csv
42,0,base,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.52,52,100,scores_seed_42.csv
42,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_42.csv
42,1,task_1,task_1,fomc,0.6,60,100,scores_seed_42.csv
42,1,task_1,task_2,scienceqa,0.68,68,100,scores_seed_42.csv
42,1,task_1,task_3,numgluecm,0.382716049382716,31,81,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.52,52,100,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.8,80,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.4814814814814814,39,81,scores_seed_42.csv
42,3,task_3,task_1,fomc,0.59,59,100,scores_seed_42.csv
42,3,task_3,task_2,scienceqa,0.82,82,100,scores_seed_42.csv
42,3,task_3,task_3,numgluecm,0.3209876543209876,26,81,scores_seed_42.csv
