seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.52,52,100,scores_seed_123.csv
123,0,base,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,1,task_3,task_3,numgluecm,0.1975308641975308,16,81,scores_seed_123.csv
123,1,task_3,task_2,scienceqa,0.63,63,100,scores_seed_123.csv
123,1,task_3,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.1604938271604938,13,81,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.83,83,100,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,3,task_1,task_3,numgluecm,0.1604938271604938,13,81,scores_seed_123.csv
123,3,task_1,task_2,scienceqa,0.79,79,100,scores_seed_123.csv
123,3,task_1,task_1,fomc,0.56,56,100,scores_seed_123.csv
33,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.52,52,100,scores_seed_33.csv
33,0,base,task_1,fomc,0.25,25,100,scores_seed_33.csv
33,1,task_3,task_3,numgluecm,0.2098765432098765,17,81,scores_seed_33.csv
33,1,task_3,task_2,scienceqa,0.55,55,100,scores_seed_33.csv
33,1,task_3,task_1,fomc,0.25,25,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.1481481481481481,12,81,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.83,83,100,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.26,26,100,scores_seed_33.csv
33,3,task_1,task_3,numgluecm,0.1358024691358024,11,81,scores_seed_33.csv
33,3,task_1,task_2,scienceqa,0.83,83,100,scores_seed_33.csv
33,3,task_1,task_1,fomc,0.58,58,100,scores_seed_33.csv
42,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.52,52,100,scores_seed_42.csv
42,0,base,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,1,task_3,task_3,numgluecm,0.2345679012345679,19,81,scores_seed_42.csv
42,1,task_3,task_2,scienceqa,0.59,59,100,scores_seed_42.csv
42,1,task_3,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.1851851851851851,15,81,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.81,81,100,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.35,35,100,scores_seed_42.csv
42,3,task_1,task_3,numgluecm,0.1728395061728395,14,81,scores_seed_42.csv
42,3,task_1,task_2,scienceqa,0.76,76,100,scores_seed_42.csv
42,3,task_1,task_1,fomc,0.54,54,100,scores_seed_42.csv
