seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.52,52,100,scores_seed_123.csv
123,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_123.csv
123,1,task_1,task_1,fomc,0.53,53,100,scores_seed_123.csv
123,1,task_1,task_2,scienceqa,0.58,58,100,scores_seed_123.csv
123,1,task_1,task_3,numgluecm,0.4444444444444444,36,81,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.49,49,100,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.8,80,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.4567901234567901,37,81,scores_seed_123.csv
123,3,task_3,task_1,fomc,0.53,53,100,scores_seed_123.csv
123,3,task_3,task_2,scienceqa,0.71,71,100,scores_seed_123.csv
123,3,task_3,task_3,numgluecm,0.2716049382716049,22,81,scores_seed_123.csv
33,0,base,task_1,fomc,0.25,25,100,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.52,52,100,scores_seed_33.csv
33,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_33.csv
33,1,task_1,task_1,fomc,0.53,53,100,scores_seed_33.csv
33,1,task_1,task_2,scienceqa,0.69,69,100,scores_seed_33.csv
33,1,task_1,task_3,numgluecm,0.4444444444444444,36,81,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.53,53,100,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.78,78,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.419753086419753,34,81,scores_seed_33.csv
33,3,task_3,task_1,fomc,0.55,55,100,scores_seed_33.csv
33,3,task_3,task_2,scienceqa,0.67,67,100,scores_seed_33.csv
33,3,task_3,task_3,numgluecm,0.1975308641975308,16,81,scores_seed_33.csv
42,0,base,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.52,52,100,scores_seed_42.csv
42,0,base,task_3,numgluecm,0.5061728395061729,41,81,scores_seed_42.csv
42,1,task_1,task_1,fomc,0.53,53,100,scores_seed_42.csv
42,1,task_1,task_2,scienceqa,0.66,66,100,scores_seed_42.csv
42,1,task_1,task_3,numgluecm,0.419753086419753,34,81,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.5,50,100,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.78,78,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.4444444444444444,36,81,scores_seed_42.csv
42,3,task_3,task_1,fomc,0.55,55,100,scores_seed_42.csv
42,3,task_3,task_2,scienceqa,0.63,63,100,scores_seed_42.csv
42,3,task_3,task_3,numgluecm,0.2592592592592592,21,81,scores_seed_42.csv
