seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.62,62,100,scores_seed_123.csv
123,0,base,task_1,fomc,0.22,22,100,scores_seed_123.csv
123,1,task_3,task_3,numgluecm,0.1234567901234567,10,81,scores_seed_123.csv
123,1,task_3,task_2,scienceqa,0.66,66,100,scores_seed_123.csv
123,1,task_3,task_1,fomc,0.22,22,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.0987654320987654,8,81,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.73,73,100,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.22,22,100,scores_seed_123.csv
123,3,task_1,task_3,numgluecm,0.0864197530864197,7,81,scores_seed_123.csv
123,3,task_1,task_2,scienceqa,0.67,67,100,scores_seed_123.csv
123,3,task_1,task_1,fomc,0.54,54,100,scores_seed_123.csv
33,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.62,62,100,scores_seed_33.csv
33,0,base,task_1,fomc,0.22,22,100,scores_seed_33.csv
33,1,task_3,task_3,numgluecm,0.0864197530864197,7,81,scores_seed_33.csv
33,1,task_3,task_2,scienceqa,0.65,65,100,scores_seed_33.csv
33,1,task_3,task_1,fomc,0.22,22,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.0864197530864197,7,81,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.66,66,100,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.22,22,100,scores_seed_33.csv
33,3,task_1,task_3,numgluecm,0.0617283950617283,5,81,scores_seed_33.csv
33,3,task_1,task_2,scienceqa,0.69,69,100,scores_seed_33.csv
33,3,task_1,task_1,fomc,0.49,49,100,scores_seed_33.csv
42,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.62,62,100,scores_seed_42.csv
42,0,base,task_1,fomc,0.22,22,100,scores_seed_42.csv
42,1,task_3,task_3,numgluecm,0.074074074074074,6,81,scores_seed_42.csv
42,1,task_3,task_2,scienceqa,0.65,65,100,scores_seed_42.csv
42,1,task_3,task_1,fomc,0.22,22,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.1111111111111111,9,81,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.64,64,100,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.22,22,100,scores_seed_42.csv
42,3,task_1,task_3,numgluecm,0.1234567901234567,10,81,scores_seed_42.csv
42,3,task_1,task_2,scienceqa,0.58,58,100,scores_seed_42.csv
42,3,task_1,task_1,fomc,0.42,42,100,scores_seed_42.csv
