seed,step,checkpoint_task,eval_task,eval_task_name,accuracy,correct,total,source_file
123,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_123.csv
123,0,base,task_2,scienceqa,0.52,52,100,scores_seed_123.csv
123,0,base,task_1,fomc,0.25,25,100,scores_seed_123.csv
123,1,task_3,task_3,numgluecm,0.2962962962962963,24,81,scores_seed_123.csv
123,1,task_3,task_2,scienceqa,0.69,69,100,scores_seed_123.csv
123,1,task_3,task_1,fomc,0.3,30,100,scores_seed_123.csv
123,2,task_2,task_3,numgluecm,0.2716049382716049,22,81,scores_seed_123.csv
123,2,task_2,task_2,scienceqa,0.81,81,100,scores_seed_123.csv
123,2,task_2,task_1,fomc,0.27,27,100,scores_seed_123.csv
123,3,task_1,task_3,numgluecm,0.3086419753086419,25,81,scores_seed_123.csv
123,3,task_1,task_2,scienceqa,0.81,81,100,scores_seed_123.csv
123,3,task_1,task_1,fomc,0.6,60,100,scores_seed_123.csv
33,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_33.csv
33,0,base,task_2,scienceqa,0.52,52,100,scores_seed_33.csv
33,0,base,task_1,fomc,0.25,25,100,scores_seed_33.csv
33,1,task_3,task_3,numgluecm,0.1111111111111111,9,81,scores_seed_33.csv
33,1,task_3,task_2,scienceqa,0.73,73,100,scores_seed_33.csv
33,1,task_3,task_1,fomc,0.28,28,100,scores_seed_33.csv
33,2,task_2,task_3,numgluecm,0.2345679012345679,19,81,scores_seed_33.csv
33,2,task_2,task_2,scienceqa,0.81,81,100,scores_seed_33.csv
33,2,task_2,task_1,fomc,0.27,27,100,scores_seed_33.csv
33,3,task_1,task_3,numgluecm,0.1975308641975308,16,81,scores_seed_33.csv
33,3,task_1,task_2,scienceqa,0.83,83,100,scores_seed_33.csv
33,3,task_1,task_1,fomc,0.6,60,100,scores_seed_33.csv
42,0,base,task_3,numgluecm,0.3703703703703703,30,81,scores_seed_42.csv
42,0,base,task_2,scienceqa,0.52,52,100,scores_seed_42.csv
42,0,base,task_1,fomc,0.25,25,100,scores_seed_42.csv
42,1,task_3,task_3,numgluecm,0.1481481481481481,12,81,scores_seed_42.csv
42,1,task_3,task_2,scienceqa,0.66,66,100,scores_seed_42.csv
42,1,task_3,task_1,fomc,0.28,28,100,scores_seed_42.csv
42,2,task_2,task_3,numgluecm,0.1975308641975308,16,81,scores_seed_42.csv
42,2,task_2,task_2,scienceqa,0.83,83,100,scores_seed_42.csv
42,2,task_2,task_1,fomc,0.32,32,100,scores_seed_42.csv
42,3,task_1,task_3,numgluecm,0.2592592592592592,21,81,scores_seed_42.csv
42,3,task_1,task_2,scienceqa,0.82,82,100,scores_seed_42.csv
42,3,task_1,task_1,fomc,0.66,66,100,scores_seed_42.csv
